id;codigo;nombre;descripcion
1;phew boldly;pish overburden gee;scratchy zowie
2;or haunting;institutionalize um;whose taro safeguard
3;ugly smarten;new lovingly avaricious;pertain
4;far-off boohoo;though steep;eek
5;probe;onset loosely where;finally
6;airport ghost;malfunction ouch at;silently safely scientific
7;tooth noxious;furthermore slip eventually;hence
8;past gut aha;simple barring lest;ew satirize mmm
9;yak;mid blowgun;guard before
10;painfully politely furthermore;instead;scarily toward
