id;codigo;nombre;descripcion
1;magnificent until mockingly;upbeat;house
2;surprised amongst round;ignorance with content;how with
3;whoa;triumphantly mid;finally failing quash
4;um who;dull hence;minus usually
5;nor;huzzah whoever wilderness;heating until and
6;yearly whoa;moralise;through certify from
7;once railway;modulo;kookily courteous diligently
8;embarrassment despite needily;below deadly maroon;step bravely secret
9;about;limp eventually hmph;rebuff puny impact
10;burgeon brace stint;meh hmph instead;narrate after incidentally
