id;codigo;nombre;descripcion
1;gladly;absent pfft;heavily amendment dampen
2;apologise typify wearily;ouch;keenly
3;outside hm pfft;regarding devise;who gee
4;abaft bravely sarcastic;vaguely;puff minor huzzah
5;urban obvious overdub;nervously;tremendously troubled
6;or sleepily regarding;for deselect homeschool;viability
7;huzzah happy-go-lucky strictly;instead around;defiantly
8;inasmuch uh-huh utterly;as brilliant;certainly qua
9;alive and neighboring;catalyze while;quizzically eventually
10;councilman chairperson abaft;how who lively;boggle
